TITLE,COMPANY,LOCATION,SALARY
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
R&D Intern,Teva Pharmaceuticals,,
Assistant Business Process Services (51006876),DXC,,
Internal Auditor,Remidio Innovative Solutions Pvt Ltd,,600000.0
Project Data Coordinator,PAREXEL International,,
MIS Executive,JLL,,
"Advisor, Data Science",Dell,,
Staff Attorney - Legal,JDA Software,,
Fire Officer,Conrad Hotels & Resorts,,
Executive Administrative Assistant,CEKAV,,210000.0
Copy / Content Writer,Skepper Creative Agency Pvt Ltd,,450000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Account Executive,Yes Property,,330000.0
Accounts Assistant,Sunniva construction,,300000.0
Handling Supervisors,PCR GROUP,,
Executive Assistant,ADCI - BLR 14 SEZ,,
Regulatory Audit,MRV Infotech India Pvt Ltd,,210000.0
Procure to Pay Processing-Invoice Processing,Accenture,,
Accounts Internship,Intugine Technologies Private Limited,,174000.0
School Principal,Millennium World School,,1320000.0
PMO,CAPCO,,
Intern - Sales,ITIPS ADVISORY,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
VmWare Vrealize-Administrator,Wipro Limited,,
Billing Executive,V-Xpress ( A Division of V-Trans India Ltd),,168000.0
Sponsorship Sales,Business Intelligence Meetings & Events,,360000
Command Centre TM,Capgemini,,
Medical representitive,Multipharma,,270000.0
Recruiter - Bangalore,JP Morgan Chase,,
Content Auditor,Kwai,,
Looking for Economic faculty on visiting basis,NSIC,,550.0
Urgent Requirement for Store Keeper,Shreeji Interiors,,180000.0
Procurement Services,Wipro Limited,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
QA Manual Testing,Xolcano Technologies Pvt Ltd,,
Department Assistant for Global IT,Novo Nordisk India,,
IT Recruiter,joulestowatts bussiness solutions pvt ltd,,
Content Writer,Brand Identity,,360000.0
QA Manual Testing,HealthifyMe,,
JIRA Administrator,Odessa,,
IN_RBEI_EMC Test Officer Template_IN,Bosch Group,,
Operations Executive,GlobalShiksha.com,,200000.0
Customer Support Executive,CLINTS LLP,,240000.0
Client Servicing Executive,Mind Blue LLP,,450000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Client Servicing Executive,routeto market media,,
Interior Designer,www.CustHum.com,,162000.0
Sales Coordinator - South Asia,Skylo Technologies,,
Accounts & MIS - Executive,Logikarts Pvt Ltd,,
Public Relations Assistant for a restaurant group,Malabar Bay,,258000.0
Librarian,Edify,,
Cashier,FabHotels,,
Store Keeper/ Warehouse Assistant,Rockford Management Services,,
Finance Controller,Xpheno,,
Executive Secretary for Spiritual Ashram,Texila Education and Management Services Pvt.Ltd,,270000.0
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Process Associates - Customer Services,Siemens AG,,
Recruitment Coordinator,Greytip,,
Customer Support Executive,Get Simpl Technologies,,240000.0
Supply Chain Executive,RADIANT HEALTH CARE PVT LTD,,390000.0
AGM - MAINTENANCE,HM Constructions,,720000.0
Finance Executive,OneDirect,,
Customer Support Associate,Cemex Management pvt.ltd,,258000.0
Job Opportunity at Thyrocare - Runner Boy ( Pick up Boy),Thyrocare Technologies Ltd,,192000.0
Jr. Accounts Executive,Doqfy Internet Pvt Limited,,162000.0
Training Administrator,Quanticate ltd,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Headmistress / Headmaster,Deccan International School,,
Travel & Tourism Internship,Payism Global,,180000.0
Intern,Centre for Cellular and Molecular Platforms (C-CAM...,,
Office Administrator,Enable Professional Services pvt ltd,,210000.0
Supervisor - Operations,Pro Nature Organic Foods Private Limited,,192000.0
Field Officer,suraksha financial servces and investments,,198000.0
Personal Assistant/secretary-gauge International(female Only...,Gauge Sewing Machines and Spares,,450000.0
import export accounts,ECOWOOD EXPORTS PVT LTD,,270000.0
CSR (Customer Service Representative),Maventum Tech Solutions Pvt Ltd.,,252000.0
Administration Coordinator,Schweitzer Engineering Laboratories,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Admission Counsellor,INSD international school of design,,390000.0
Clinical Trial Administrator,PSI CRO,,
Customer Service Representative-Semi Voice Process,Careglobe,,288000.0
Accounts Executive,buildAhome,,210000.0
Sales & Marketing Executive,SHADEFLEX INDIA PVT LTD,,450000.0
Corporate Transport Operations Executive,Creshya Technologies Pvt Ltd,,183000.0
Accounts Executive,FBP Consultants Private Limited,,
Network/System Administrator,Pepper Media Pvt Ltd,,300000.0
Accounts Executive,HM Constructions,,258000.0
QAM/NQA,H.N. Apparel Manufacturing (India),,
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Front Office Executive,Jain Heights & Structure Pvt Ltd,,246000.0
Guest Service Associate - Food & Beverage,Holiday Inn Express,,
Receptionist - Bangalore,Dr..Agarwals Healthcare Ltd.,,162000.0
Immediate Opening for Admission Counsellor,IIFA LANCASTER DEGREE COLLEGE,,270000.0
BPO Executive,Careglobe,,288000.0
MBA (Marketing) - Fresher,SSSPL,,350000.0
Tradesman,Raman Research Institute,,384000
Shift Incharge - Die Casting,Sansu Automotives Pvt Ltd,,
MQ-ADMIN,Larsen & Toubro Infotech Limited,,
Adobe Photoshop illustrator,Treistek India Pvt Ltd,,162000.0
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Executive Assistant,ATSPL - Karnataka,,
Warehouse Supervisor,HR Hub,,
Permission or Outreach officer,DONBOSCO,,240000.0
Accounts Executive,R.V Institutions,,
Associate Provider Service Representative,UnitedHealth Group,,
SQL/Data warehousing/Data management_3_Staff 2/3/4,EY,,
EVENT COORDINATOR,Prominence,,
SUPV II PRODUCTION,TE Connectivity,,
Data Operator Clerk Need Freshers,Emcure Private limited,,204000.0
Site Supervisor,Truneto,,228000.0
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Sr. Content Writer,Urban Blueprint,,660000.0
Business Intelligence Intern,SPX FLOW,,
Chief Operating Officer- Start up Hub,ITI Limited,,1584000
Chief Financial Officer,Jodhani Papers Pvt. Ltd.,,1100000.0
Event Producer,upendup,,300000.0
Purchasing Supervisor,Conrad Hotels & Resorts,,
Customer Support (Only female) - Night Shift,Cresc datasoft Pvt. Ltd,,390000.0
Officer SCM,Avery Dennison,,
Finance & Accounts Executive,Chesa Dental Care Services Limited,,300000
CLIENT SERVICING - EVENTS AND ACTIVATION,Route To Market Media India Pvt Ltd,,
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Articled Assistant,Manish Dalmia & Associates,,72000.0
Account Assistant,Apsara Silks,,
Desktop Administration- 1yr to 2yrs – Bangalore,Capgemini,,
Sales Assistant,Surana pharma,,228000.0
Executive Administration,Stirred Creative Advertising,,250000.0
Customer Support Executive,BIGLEAP TECHNOLOGIES AND SOLUTIONS PVT LTD,,234000.0
Immediate openings for Store Keeper - Yelahanka,Presidency University,,330000.0
"Customer Support Executive (Voice, Non-Voice, Semi Voice Pro...",Careglobe,,288000.0
Sr. Process Associate- SCM Services,Siemens AG,,
Operations Internship,Unacademy,,300000
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
US IT Recruiter,Zynom Technologies Pvt Ltd,,300000.0
Profile for BFS - Group AA,Wipro LTD,,
Sr. Executive - Finance & Accounts,Avi Solar Energy Pvt Ltd,,270000.0
Executive Assistant,Verisk Financial,,
Hindi Transcribers,Gnani.ai,,300000.0
IBM-AIX Admin-Administrator,Wipro Limited,,
Photographer,Klic Pic,,
Associate - Retail Branch Operations,TATA Capital,,
Structural Draughtsman,Buildahome,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Manual Mobile App Tester,DailyRounds / Neuroglia Health,,
Sr. Executive Administration,Damden Properties,,
Accounts & Administration,Palpx,,258000.0
Network Administrator,HB Services,,237500.0
Bpo non voice (Fresher),Club Factory,,168000.0
MIS Executive,MG - Morris Garages,,
Stores Executive,IV SANCTUM HOTEL,,195000.0
"Finance & Accounts Executive - Koramangala, Bangalore",Redwood Algorithms,,180000.0
Laboratory Calibration Technician,UL,,
Data Entry Operator Cum Assistant,Central Manufacturing Technology Institute (CMTI),,240000
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Performance Strategist,Hiveminds Innovtaive Market Solutions,,750000.0
Customer Service Representative,Vogo,,
MIS Sales Coordinator,GRB Dairy foods pvt.ltd,,228000.0
Record To Report-Reconciliations,Accenture,,
Admission Counselor,indian school of excellence,,300000.0
Accounts Assistant,Innappsys Technologies,,210000.0
"MIS Executive, Bangalore - Silk Board",Abylle Solution Pvt.Ltd,,180000.0
Cinematographer,UpendUp,,270000.0
Clear Case Admin Texas Instrument,Client of Aeronube,,
Cinematographer,Vijayeesam & Co.,,360000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Front Office Executive - HULIMAVU - BANNERGHATTA,PARTHA DENTAL CARE,,132000.0
Warehouse Operations-E-Commerce - Bangalore,Aditya Birla Group,,476
Carplay System engineerC2H,Unitforce Technologies Conslt,,
Network Admin,Novel Office,,312500.0
Admin Assistant,RGL,,264000.0
Sales Coordinator(Whitefield),Cleansecar,,204000.0
Procure PA1,Capgemini,,
Finance Executive,Inspire Honda,,210000.0
System Administrator,Scintilla Bio,,
Interior Designer,The Mallet,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Conference Producer,Mindspace Global,,540000.0
Catalog Associate,Harrison,,240000.0
B2_IA_Operations,Capgemini,,
Purchase Executive,FUREIN CONSTRUCTION ENGINEERING PRIVATE LIMITED,,250000.0
MIS Executive,Company India Limited,,300000.0
Accounts Executive,panthera august estates projects,,250000.0
ERP Administrator 2,Capgemini,,
Mechanical Faculty,EduCADD Learning Solutions Pvt LTd,,258000.0
Scientific Editor,BioQuest Solutions Pvt Ltd,,500000.0
Flight Operations Data Executive,Wego Pte Ltd,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Administer to Work PA1,Capgemini,,
Motivational Speaker,7 Intelligence Pvt Ltd,,330000.0
International Voice process,Nuelearn Global Pvt Ltd,,235000.0
Admin and Receptionist,Natyalaya Dance School,,108000.0
"Customer Service Representative,call center",GENIUS CONSULTING,,270000.0
Finance Executive - Accounts Receivable,"Marriott International, Inc",,
Graphic Designer - Funded Startup,ExpertEase,,900000.0
Store Keeper,HM Constructions,,246000.0
OCC Coordinator,AirAsia,,
Counter Sales,The baklava company,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Account assistant,Globelinktravel Pvt Ltd,,180000.0
Online Cyber Security Faculty (Part-Time),LINC Education Services,,480000.0
Data Science Internship,Emplay Analytics,,240000
Customer Support Executive,Vmultiply Solutions,,210000.0
R2A Record PA2,Capgemini,,
Marketing and Events Executive,Vidyashilp Academy,,400000.0
Network Engineer-4yrs to 6yrs-Bangalore,Capgemini,,
International Voice Process - Day Shift,Swethan Consulting,,270000.0
ITT_GDT7_DB Admin,Daimler,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Medical Receptionist,Bangalore Rheumatology Center,,120006.0
International Voice Process / Customer Support / Bpo / Rotat...,eTeam InfoServices Pvt. Ltd,,306000.0
Production Associate,BEMPU,,
Student Advisor,Azent Overseas Education,,
SCCM Administrator,DXC,,
Entry General Ledger Acct,CDM Smith,,
Corporate Fundraising Officer,Education Recharge,,420000.0
Data Entry Operator,Perfect solutions,,450000.0
Executive Operations,IBC Verification Services,,
Documentary Trade Operator,Deutsche Bank,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Service Coordinator,jeeves customer services,,210000.0
Operations Internship,WareIQ,,210000.0
Tele Caller Executive,Atria University,,330000.0
CA Article Trainee,RJMJ & Associates,,72000.0
Accounts Executive,Shenzyn (4Gen Technologies Company Pvt. Ltd.),,270000.0
Change & Release Co-ordinator,GSK,,
Content Writer,Kofluence,,450000.0
Urgent openings for Apple Laptop technicians,Ciel HR Services Pvt Ltd,,330000.0
Fresher vacancy in Pharmacovigilance at Kinapse,Kinapse India Pvt Ltd,,
Asset Coodinator,Magna Infotech,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Front Office Executive,Holiday Inn Express,,
ERC Generalist,Adobe,,
STORE EXECUTIVE IN BANGALORE,Digital Fashion Factory,,
SSE,PhonePe,,
Customer Service,SPYRO Strategic Consultant,,234000.0
Office 365 Build and Administrator / O365 Build and Admin,Torry Harris,,
Marketing Executive,Toppr,,390000.0
Talent Acquisition Partner,Bastian Solutions,,
Operations Administrator,Chantilly Group,,225000.0
Freelance Content Writer,Nanav Naturals Pvt Ltd,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Staff Design Verification Engr,Cypress Semiconductor,,
Wintel Administrator,DXC,,
Accounts Assistant,Surfaces,,156000.0
Record To Report-Fixed Asset Accounting,Accenture,,
Creative Designer,Qthreeventures,,660000.0
Purchase & Logistics,PreBo Automotive Private Limited,,210000.0
Proposal Author,Capgemini,,
Project Co-ordinator / Site Execution-Interiors,17Coders,,
Courier Coordinator/ Purchase Executive/ Logistics Assistant,GlobalShiksha.com,,250000.0
Customer Service Associate,Boaats Corporate Solutions,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Inside Sales Representative,Truww.com,,480000.0
Public Relation Officer,Pinkatom Foundation,,270000.0
PROCUREMENT,Salarpuria Sattva Group,,
IT Recruiter,PITCS,,210000.0
Customer Service Representative,"M S International, Inc.",,
CBS Global Assistant,Cargill,,
Delivery Boy / Delivery Executive (Fresher) - Bangalore,Ride.Swiggy,,420000
Branding & Communication Executive,DS RESEARCH CENTRE,,300000.0
Tableau Admin,Infosys technology limited,,
Intern,SpringRole,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Informatica Developer_07746302_Bengaluru,Mphasis,,
Customer Service Representative I,Thermo Fisher Scientific,,
Non Voice-data entry HSR Layout Bangalore,Wings Brand Activations India Private Limited,,
Office Administrator,Apttus,,
IT Recruiter,Insnap Technologies,,
Office Executive,Redwood Algorithms,,78000.0
Executive - Affiliate Marketing,GetMyUni,,375000.0
JIRA,Capgemini,,
Desktop Technician,Mouser Electronics,,
Regulatory Affairs (Formulations),Mylan N.V.,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
AVP- Business Audit,State Street,,
Security Supervisor,Advance Group,,246000.0
Regulatory Affairs Associate (Publishing),Novo Nordisk,,
Network Voice_6yrs to 9yrs_Bangalore,Capgemini,,
IT admin,Matrix Corporate Management Services Pvt Ltd.,,240000
Maintenance Technician,Gaiagen Technologies,,240000
modular furniture designer,furniture manufacturing,,720000
Interior Designer/ Home Space Designer,Cleekart Interio Pvt Ltd,,84000.0
Administration part time job/internship at Bangalore,Wolflow Productions,,180000.0
Customer Support Executive - Chat Process,Wmall,,204000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Invoice Processing PA2,Capgemini,,
Project Assistant,PPD,,
bpo voice process (English / Hindi),Cemex Management Pvt Ltd,,228000.0
SDET 2,Quotient Technology,,
Accounts Executive,bi om medical technology,,450000.0
SME - KYC Static Data,ANZ Banking Group,,
Data Entry Executive,MANGO HYPERMARKET,,
Trainee Project Coordinator,Your Practice Online,,
Logistics Services - Associate (India),Laundryheap Limited,,
Associate_GFI Asia LEC,JP Morgan Chase,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Store Incharge,Assal Foods,,
Project Coordinator,Johnson Controls,,
AI in Computer Vision,CSTEP,,
DevOps For Data Science Internship,DSights Consultancy Services Private Limited,,270000.0
Personal Secretary,Vaps Technosoft Pvt Ltd,,330000.0
PPC Executive,GOPALAN ENTERPRISES,,270000.0
Back Office Executive - Data Processing Executive,Amtush InfoSolutions Private Limited,,175000.0
Community Engagement Coordinator,oyorooms.com,,
Production Executive,AA Advertising and Communications,,
CIS BOOKING EXECUTIVE,Johnson Controls,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Guest Relation Executive,MotherhoodHRBR,,192000.0
Finance Processes-Reporting,Accenture,,
Footware distributer,Tyremarket.com,,210000.0
Sr. Process Associate - Customer Services,Siemens AG,,
Maintenance Technician,Vigours Group,,180000
Customer Service Advisor (Auto Claim Process),SSSPL,,500000.0
Hiring For Metallurgist,Futures and Careers,,
Operations Executive,Graphite Enterprises,,240000.0
"Bangalore, Accounting - Associate",Morgan Stanley,,
Finance Controller & Accounts,Samosa Singh,,660000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Operation Executive,Embibe,,
Public Relations Executives,Brand Comm,,270000.0
Intern - WFO,Cadence Design Systems,,
REQUIRED IT INTERN,Digital Fashion Factory (DFF),,
Public Relations Officer,Amer juneidi food industries,,150000.0
System Administrator,Vikas Global Solutions Ltd,,200000.0
KTP Offshoring PMO,Société Générale,,
Milk Delivery Person,mistwood pvt ltd,,108000.0
Video Editor,UpendUp,,360000.0
Operations Executive,Guarented Rentals Private Limited,,246000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
